Date,Open,High,Low,Close,Adj Close,Volume
2018-03-12,69.720001,69.720001,69.720001,69.720001,63.837986,0
2018-03-13,69.290001,69.290001,69.290001,69.290001,63.444286,0
2018-03-14,68.930000,68.930000,68.930000,68.930000,63.114632,0
2018-03-15,68.830002,68.830002,68.830002,68.830002,63.023071,0
2018-03-16,69.000000,69.000000,69.000000,69.000000,63.178741,0
2018-03-19,68.070000,68.070000,68.070000,68.070000,62.327198,0
2018-03-20,68.169998,68.169998,68.169998,68.169998,62.418755,0
2018-03-21,67.839996,67.839996,67.839996,67.839996,62.369106,0
2018-03-22,66.160004,66.160004,66.160004,66.160004,60.824585,0
2018-03-23,64.790001,64.790001,64.790001,64.790001,59.565071,0
2018-03-26,66.480003,66.480003,66.480003,66.480003,61.118793,0
2018-03-27,65.320000,65.320000,65.320000,65.320000,60.052334,0
2018-03-28,65.169998,65.169998,65.169998,65.169998,59.914417,0
2018-03-29,66.050003,66.050003,66.050003,66.050003,60.723465,0
2018-04-02,64.559998,64.559998,64.559998,64.559998,59.353619,0
2018-04-03,65.360001,65.360001,65.360001,65.360001,60.089104,0
2018-04-04,66.120003,66.120003,66.120003,66.120003,60.787827,0
2018-04-05,66.589996,66.589996,66.589996,66.589996,61.219917,0
2018-04-06,65.160004,65.160004,65.160004,65.160004,59.905228,0
2018-04-09,65.360001,65.360001,65.360001,65.360001,60.089104,0
2018-04-10,66.459999,66.459999,66.459999,66.459999,61.100403,0
2018-04-11,66.160004,66.160004,66.160004,66.160004,60.824585,0
2018-04-12,66.690002,66.690002,66.690002,66.690002,61.311844,0
2018-04-13,66.480003,66.480003,66.480003,66.480003,61.118793,0
2018-04-16,67.029999,67.029999,67.029999,67.029999,61.624432,0
2018-04-17,67.739998,67.739998,67.739998,67.739998,62.277176,0
2018-04-18,67.830002,67.830002,67.830002,67.830002,62.359928,0
2018-04-19,67.449997,67.449997,67.449997,67.449997,62.010555,0
2018-04-20,66.919998,66.919998,66.919998,66.919998,61.523308,0
2018-04-23,66.910004,66.910004,66.910004,66.910004,61.514122,0
2018-04-24,66.080002,66.080002,66.080002,66.080002,60.751041,0
2018-04-25,66.160004,66.160004,66.160004,66.160004,60.824585,0
2018-04-26,66.800003,66.800003,66.800003,66.800003,61.412998,0
2018-04-27,66.849998,66.849998,66.849998,66.849998,61.458954,0
2018-04-30,66.300003,66.300003,66.300003,66.300003,60.953300,0
2018-05-01,66.480003,66.480003,66.480003,66.480003,61.118793,0
2018-05-02,66.070000,66.070000,66.070000,66.070000,60.741848,0
2018-05-03,65.919998,65.919998,65.919998,65.919998,60.603947,0
2018-05-04,66.760002,66.760002,66.760002,66.760002,61.376217,0
2018-05-07,67.050003,67.050003,67.050003,67.050003,61.642826,0
2018-05-08,67.080002,67.080002,67.080002,67.080002,61.670387,0
2018-05-09,67.699997,67.699997,67.699997,67.699997,62.240398,0
2018-05-10,68.290001,68.290001,68.290001,68.290001,62.782825,0
2018-05-11,68.430000,68.430000,68.430000,68.430000,62.911537,0
2018-05-14,68.449997,68.449997,68.449997,68.449997,62.929897,0
2018-05-15,68.040001,68.040001,68.040001,68.040001,62.552979,0
2018-05-16,68.370003,68.370003,68.370003,68.370003,62.856373,0
2018-05-17,68.379997,68.379997,68.379997,68.379997,62.865536,0
2018-05-18,68.239998,68.239998,68.239998,68.239998,62.736855,0
2018-05-21,68.739998,68.739998,68.739998,68.739998,63.196526,0
2018-05-22,68.480003,68.480003,68.480003,68.480003,62.957497,0
2018-05-23,68.690002,68.690002,68.690002,68.690002,63.150558,0
2018-05-24,68.580002,68.580002,68.580002,68.580002,63.049431,0
2018-05-25,68.440002,68.440002,68.440002,68.440002,62.920719,0
2018-05-29,67.750000,67.750000,67.750000,67.750000,62.286354,0
2018-05-30,68.639999,68.639999,68.639999,68.639999,63.104599,0
2018-05-31,68.169998,68.169998,68.169998,68.169998,62.672497,0
2018-06-01,68.879997,68.879997,68.879997,68.879997,63.325233,0
2018-06-04,69.199997,69.199997,69.199997,69.199997,63.619427,0
2018-06-05,69.300003,69.300003,69.300003,69.300003,63.711376,0
2018-06-06,69.889999,69.889999,69.889999,69.889999,64.253784,0
2018-06-07,69.820000,69.820000,69.820000,69.820000,64.189430,0
2018-06-08,70.050003,70.050003,70.050003,70.050003,64.400894,0
2018-06-11,70.129997,70.129997,70.129997,70.129997,64.474434,0
2018-06-12,70.290001,70.290001,70.290001,70.290001,64.621529,0
2018-06-13,70.010002,70.010002,70.010002,70.010002,64.364128,0
2018-06-14,70.220001,70.220001,70.220001,70.220001,64.557175,0
2018-06-15,70.169998,70.169998,70.169998,70.169998,64.511215,0
2018-06-18,70.099998,70.099998,70.099998,70.099998,64.446861,0
2018-06-19,69.839996,69.839996,69.839996,69.839996,64.207809,0
2018-06-20,70.019997,70.019997,70.019997,70.019997,64.373299,0
2018-06-21,69.239998,69.239998,69.239998,69.239998,63.924618,0
2018-06-22,69.349998,69.349998,69.349998,69.349998,64.026161,0
2018-06-25,68.360001,68.360001,68.360001,68.360001,63.112164,0
2018-06-26,68.540001,68.540001,68.540001,68.540001,63.278351,0
2018-06-27,67.870003,67.870003,67.870003,67.870003,62.659771,0
2018-06-28,68.290001,68.290001,68.290001,68.290001,63.047546,0
2018-06-29,68.339996,68.339996,68.339996,68.339996,63.093685,0
2018-07-02,68.570000,68.570000,68.570000,68.570000,63.306053,0
2018-07-03,68.309998,68.309998,68.309998,68.309998,63.066010,0
2018-07-05,68.919998,68.919998,68.919998,68.919998,63.629166,0
2018-07-06,69.519997,69.519997,69.519997,69.519997,64.183098,0
2018-07-09,70.129997,70.129997,70.129997,70.129997,64.746292,0
2018-07-10,70.300003,70.300003,70.300003,70.300003,64.903236,0
2018-07-11,69.809998,69.809998,69.809998,69.809998,64.450859,0
2018-07-12,70.389999,70.389999,70.389999,70.389999,64.986351,0
2018-07-13,70.440002,70.440002,70.440002,70.440002,65.032509,0
2018-07-16,70.320000,70.320000,70.320000,70.320000,64.921707,0
2018-07-17,70.620003,70.620003,70.620003,70.620003,65.198700,0
2018-07-18,70.790001,70.790001,70.790001,70.790001,65.355621,0
2018-07-19,70.599998,70.599998,70.599998,70.599998,65.180206,0
2018-07-20,70.500000,70.500000,70.500000,70.500000,65.087891,0
2018-07-23,70.610001,70.610001,70.610001,70.610001,65.189445,0
2018-07-24,70.760002,70.760002,70.760002,70.760002,65.327927,0
2018-07-25,71.360001,71.360001,71.360001,71.360001,65.881866,0
2018-07-26,71.239998,71.239998,71.239998,71.239998,65.771088,0
2018-07-27,70.660004,70.660004,70.660004,70.660004,65.235611,0
2018-07-30,70.220001,70.220001,70.220001,70.220001,64.829376,0
2018-07-31,70.629997,70.629997,70.629997,70.629997,65.207916,0
2018-08-01,70.550003,70.550003,70.550003,70.550003,65.134064,0
2018-08-02,70.970001,70.970001,70.970001,70.970001,65.521805,0
2018-08-03,71.220001,71.220001,71.220001,71.220001,65.752617,0
2018-08-06,71.510002,71.510002,71.510002,71.510002,66.020348,0
2018-08-07,71.730003,71.730003,71.730003,71.730003,66.223465,0
2018-08-08,71.690002,71.690002,71.690002,71.690002,66.186539,0
2018-08-09,71.639999,71.639999,71.639999,71.639999,66.140381,0
2018-08-10,71.199997,71.199997,71.199997,71.199997,65.734146,0
2018-08-13,70.889999,70.889999,70.889999,70.889999,65.447945,0
2018-08-14,71.379997,71.379997,71.379997,71.379997,65.900322,0
2018-08-15,70.800003,70.800003,70.800003,70.800003,65.364853,0
2018-08-16,71.379997,71.379997,71.379997,71.379997,65.900322,0
2018-08-17,71.629997,71.629997,71.629997,71.629997,66.131142,0
2018-08-20,71.820000,71.820000,71.820000,71.820000,66.306541,0
2018-08-21,72.050003,72.050003,72.050003,72.050003,66.518898,0
2018-08-22,72.059998,72.059998,72.059998,72.059998,66.528122,0
2018-08-23,71.919998,71.919998,71.919998,71.919998,66.398880,0
2018-08-24,72.370003,72.370003,72.370003,72.370003,66.814331,0
2018-08-27,72.889999,72.889999,72.889999,72.889999,67.294426,0
2018-08-28,72.910004,72.910004,72.910004,72.910004,67.312889,0
2018-08-29,73.309998,73.309998,73.309998,73.309998,67.682175,0
2018-08-30,73.010002,73.010002,73.010002,73.010002,67.405212,0
2018-08-31,73.070000,73.070000,73.070000,73.070000,67.460587,0
2018-09-04,72.949997,72.949997,72.949997,72.949997,67.349808,0
2018-09-05,72.709999,72.709999,72.709999,72.709999,67.128242,0
